id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
0,0,1,0,1,2000,4726,5,10,95,0,0
1,0,0,1,0,96000,2938,4,10,38,0,0
2,1,3,2,1,69000,3477,2,0,36,0,0
3,1,2,1,2,30000,2067,6,0,65,0,0
4,2,5,2,1,13000,2994,5,0,62,0,0
5,2,4,1,2,88000,3879,8,0,33,0,0
6,3,7,3,2,50165,4386,2,0,17,0,0
7,3,6,2,3,48835,3020,3,10,15,0,2
8,4,9,2,4,9000,1726,2,0,54,0,0
9,4,8,4,2,90000,3263,3,0,29,0,0
10,5,11,2,5,57000,2399,2,10,52,0,0
11,5,10,5,2,42000,1806,5,0,67,0,0
12,6,13,2,6,51000,3652,4,1000,65,0,0
13,6,12,6,2,50000,4963,6,0,20,0,0
14,7,15,7,8,91408,4858,5,0,55,0,0
15,7,14,8,7,8592,4558,9,10,40,0,1
16,8,17,9,10,41000,4236,4,1000,41,0,0
17,8,16,10,9,57000,2871,5,0,34,0,0
18,9,19,9,10,81000,1328,9,0,42,0,0
19,9,18,10,9,19000,4403,5,0,46,0,0
20,10,21,11,4,6000,4553,9,0,94,0,0
21,10,20,4,11,93000,3012,8,0,73,0,0
22,11,23,8,12,48000,1676,9,10,36,0,0
23,11,22,12,8,52000,3096,3,1000,42,0,0
24,12,25,10,8,50000,4537,3,10,59,0,0
25,12,24,8,10,50000,3294,4,0,45,0,0
26,13,27,13,10,0,2516,7,10,11,0,0
27,13,26,10,13,100000,4189,2,10,34,0,0
28,14,29,6,4,2000,2453,6,10,55,0,0
29,14,28,4,6,98000,4069,5,10,92,0,0
30,15,31,14,15,40000,3203,6,10,97,0,0
31,15,30,15,14,59000,1451,4,0,38,0,0
32,16,33,16,15,73000,4831,6,0,82,0,0
33,16,32,15,16,27000,1917,4,0,89,0,0
34,17,35,2,17,70825,1681,5,0,89,0,1
35,17,34,17,2,30175,4112,6,0,22,0,0
36,18,37,16,18,74000,3395,8,100,19,0,0
37,18,36,18,16,25000,2474,2,0,29,0,0
38,19,39,2,19,79000,2384,5,0,33,0,0
39,19,38,19,2,21000,4655,9,0,47,0,0
40,20,41,20,21,60000,1160,8,0,75,0,0
41,20,40,21,20,40000,4585,2,0,85,0,0
42,21,43,22,23,31000,3191,4,10,72,0,0
43,21,42,23,22,68000,1983,9,0,26,0,0
44,22,45,16,24,1000,1000,6,10,18,0,0
45,22,44,24,16,98000,1700,2,0,56,0,0
46,23,47,3,25,71340,1859,5,10,35,0,1
47,23,46,25,3,27660,2885,1,0,59,0,0
48,24,49,26,10,97000,1580,1,0,55,0,0
49,24,48,10,26,2000,2340,6,0,24,0,0
50,25,51,27,28,83000,1869,7,0,76,0,0
